,Date,LocationStart,LocationEnd,Distance,TimeStart,TimeEnd,MPH
179,2016-09-19,Warren's,8528 Foxborough,28.9,,,
180,2016-09-18,8528 Foxborough,Lake Elkhorn,7.4,,,
181,2016-09-18,Lake Elkhorn,8528 Foxborough,5.6,,,
182,2016-09-16,8528 Foxborough,Jackson Pond,9.3,,,
183,2016-09-16,Jackson Pond,8528 Foxborough,9.3,,,
184,2016-09-12,8528 Foxborough,Simmie's,8.7,,,
185,2016-09-12,Simmie's,Laurel WF Bank,4.5,,,
186,2016-09-12,Laurel WF Bank,8528 Foxborough,10.2,,,
187,2016-09-06,8528 Foxborough,Savage Library,1.5,,,
188,2016-09-06,Savage Library,8528 Foxborough,1.5,,,
189,2016-09-02,8528 Foxborough,Linthicum Light Rail,14.3,,,
190,2016-09-02,Woodberry Light Rail,Hopkins Barnes & Noble,2.4,,,
191,2016-09-02,Hopkins Barnes & Noble,Quail Run,10.7,,,
192,2016-09-02,Quail Run,Hopkins Barnes & Noble,10.9,,,
193,2016-09-02,Hopkins Barnes & Noble,Woodberry Light Rail,2.3,,,
